0;1702825075.652822;62
0;1702825075.65933;63
0;1702825075.671201;64
0;1702825075.671503;65
1;1702825196.869189;76
1;1702825196.888073;77
1;1702825318.617664;78
0;1702826750.954838;78
0;1702826750.974005;76
0;1702826750.995003;77
1;1702839069.36692;77
1;1702839069.987444;76
0;1702839087.051664;77
0;1702841381.996518;76
1;1702842127.803578;81
1;1702842128.035099;81
1;1702842130.076502;81
1;1702842350.58855;76
1;1702842641.19574;77
0;1702843786.987899;81
0;1702843794.093165;76
0;1702843794.995004;77
1;1702883250.055341;78
1;1702885187.378042;76
0;1702887360.368432;76
1;1702887360.388678;64
1;1702887360.389235;65
1;1702887360.410806;62
1;1702887360.411238;63
0;1702887360.436234;78
0;1702906247.832838;62
0;1702906247.833466;63
0;1702906247.852438;64
0;1702906247.852938;65
1;1702906348.923882;76
1;1702906635.591653;78
0;1702906730.959583;78
1;1702906735.691109;78
0;1702906737.243019;78
1;1702911595.728506;81
0;1702911596.787158;81
1;1702914946.563307;77
1;1702914946.58585;84
1;1702914954.881063;78
1;1702915816.337857;81
1;1702915821.582175;81
1;1702915822.579627;81
1;1702915823.580308;81
1;1702915824.582646;81
0;1702932936.606925;81
0;1702932944.555253;77
0;1702932944.763094;76
0;1702932947.32993;84
0;1702932949.178777;78
1;1702972015.123538;78
0;1702972176.927178;78
1;1702973024.32706;78
1;1702989428.484794;84
1;1702989428.551182;77
1;1702989429.923116;76
0;1702989430.698093;77
0;1702989430.724672;84
0;1702989967.403857;76
1;1702989967.423721;64
1;1702989967.42432;65
1;1702989967.445106;62
1;1702989967.445498;63
0;1702989967.476154;78
0;1703006551.504556;62
0;1703006551.506653;63
0;1703006551.523197;64
0;1703006551.523575;65
1;1703006613.137927;76
1;1703006613.157823;77
1;1703006762.901412;78
1;1703006824.89212;81
0;1703007132.580551;81
0;1703011728.319644;76
0;1703011728.44458;78
0;1703011728.626006;77
1;1703053600.518489;78
0;1703057562.175307;87
1;1703057563.816244;87
2;1703057573.563077;87
1;1703084608.416806;81
1;1703085924.665634;76
1;1703085924.686183;77
0;1703086096.964;81
0;1703086096.983269;76
1;1703086097.002433;64
1;1703086097.002954;65
1;1703086097.029292;62
1;1703086097.029867;63
0;1703086097.0517;78
0;1703086097.07926;77
0;1703095586.575568;62
0;1703095586.576257;63
0;1703095586.594568;64
0;1703095586.595062;65
1;1703095648.721339;76
1;1703095648.742532;77
1;1703106121.476225;78
0;1703114768.533882;76
0;1703114768.875461;77
0;1703114774.974205;78
1;1703143311.884489;78
1;1703145413.385276;64
1;1703145413.386088;65
1;1703145413.406379;62
1;1703145413.406862;63
0;1703145413.429383;78
0;1703157931.104173;62
0;1703157931.104867;63
0;1703157931.12372;64
0;1703157931.124346;65
1;1703158221.440343;78
1;1703171281.253952;84
1;1703171281.28217;77
1;1703171302.615037;81
0;1703177034.087599;81
1;1703177210.510138;76
1;1703177485.210534;87
2;1703177496.235657;87
0;1703180655.785753;84
1;1703180682.626487;77
1;1703180707.664991;77
1;1703180707.755844;77
1;1703180708.109919;77
1;1703180709.251519;77
1;1703180709.666698;77
1;1703180710.720607;77
1;1703180711.751896;77
1;1703180727.576734;84
0;1703180728.246811;84
1;1703180729.071781;84
0;1703180729.659683;84
0;1703182105.680178;77
0;1703182106.625394;76
0;1703182111.192606;78
1;1703186234.985017;81
1;1703186246.955041;81
1;1703186248.953119;81
1;1703186249.570591;81
1;1703186250.561142;81
1;1703186251.565041;81
1;1703186252.188148;81
1;1703186252.56706;81
1;1703186254.195236;81
1;1703186256.189375;81
0;1703186322.459846;81
1;1703186324.246561;81
1;1703186329.543532;81
0;1703186331.425042;81
1;1703195625.842533;77
1;1703195625.851877;84
0;1703195640.050411;77
0;1703195640.058909;84
1;1703244430.642156;78
1;1703245199.12621;87
1;1703250068.22569;76
0;1703250520.404912;76
1;1703250520.424258;64
1;1703250520.424966;65
1;1703250520.445458;62
1;1703250520.445959;63
0;1703250520.474474;78
0;1703251008.074044;62
0;1703251008.074659;63
0;1703251008.09423;64
0;1703251008.094688;65
1;1703252001.720163;76
1;1703259843.422805;78
1;1703267236.359491;84
1;1703267236.378245;77
1;1703267596.85434;81
1;1703267655.485638;81
1;1703267656.410186;81
1;1703267657.412924;81
1;1703267658.414917;81
2;1703269184.064124;87
1;1703269203.020224;87
1;1703270386.00309;77
0;1703270816.723083;81
0;1703270816.741609;76
1;1703270816.762703;64
1;1703270816.763264;65
1;1703270816.784205;62
1;1703270816.784644;63
0;1703270816.813995;84
0;1703270816.84776;78
0;1703270816.87487;77
2;1703270826.464436;78
0;1703504752.385026;62
0;1703504752.38582;63
0;1703504752.404065;64
0;1703504752.404494;65
1;1703505069.129823;64
1;1703505069.130561;65
1;1703505069.148894;62
1;1703505069.149367;63
0;1703593212.097056;62
0;1703593212.09775;63
0;1703593212.116226;64
0;1703593212.116716;65
1;1703602264.87371;76
1;1703602272.357707;77
0;1703608019.652132;76
0;1703608019.689088;77
0;1703610307.356848;78
1;1703610309.545745;78
1;1703613032.79974;77
1;1703613032.808316;84
0;1703629065.276877;84
0;1703629065.335207;77
0;1703642749.835364;78
